"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Organization.Division.LongName","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramReference.Code.2","Award.ProgramReference.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Text.5","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Code.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.ProgramElement.Code.19","Award.ProgramElement.Code.20","Award.ProgramElement.Code.21","Award.ProgramElement.Code.22","Award.ProgramElement.Code.23","Award.ProgramElement.Code.24","Award.ProgramElement.Code.25","Award.ProgramElement.Code.26","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.6"
"3575",3575,"Cryptographic Algorithms For Computer Data Bases","06/01/1975","05/31/1977",19000,"Standard Grant",5010008,"Direct For Computer & Info Scie & Enginr","name not available","04/10/1975","11/02/1976",7423653,"George","Davida","06/01/1975","Principal Investigator","University of Wisconsin-Milwaukee","Milwaukee",532010340,4142294853,"P O BOX 340","United States","Wisconsin","WI","Division of Computing and Communication Foundations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3576",3576,"Subsurface Measurements of the Ross Ice Shelf, Mcmurdo Sound, Antarctica","09/01/1976","03/31/1978",71300,"Interagency Agreement",1020301,"Office Of The Director","name not available","09/21/1976","11/03/1977",7423654,"Austin","Kovacs","09/01/1976","Principal Investigator","Department of Army Cold Regions Research & Engineering Lab","Hanover",37551290,6036464219,"72 Lyme Road","United States","New Hampshire","NH","Office of Polar Programs",NA,NA,"Anthony","Gow","09/01/1976","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3577",3577,"The Thermodynamics of Liquid Mixtures","04/01/1975","09/30/1977",104300,"Standard Grant",7020000,"Directorate For Engineering","name not available","04/07/1975","08/05/1975",7423657,"Ronald","Sundfors","04/01/1975","Co-Principal Investigator","Washington University","Saint Louis",631304862,3147474134,"CAMPUS BOX 1054","United States","Missouri","MO","Div Of Chem, Bioeng, Env, & Transp Sys",1414,"INTERFAC PROCESSES & THERMODYN","Buford","Smith","04/01/1975","Co-Principal Investigator",NA,NA,"Joseph","Kurz","04/01/1975","Co-Principal Investigator",NA,NA,NA,NA,"Kardos","04/01/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,"John",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3578",3578,"Dissertation Research - Systematics of the West Indian Vernonias","11/01/1974","10/31/1976",4000,"Standard Grant",8010207,"Direct For Biological Sciences","name not available","09/20/1974","09/20/1974",7423659,"Samuel","Jones","11/01/1974","Principal Investigator","University of Georgia","Athens",306021589,7065425939,"310 East Campus Rd","United States","Georgia","GA","Division Of Environmental Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3579",3579,"Nonequilibrium Superconductivity","12/01/1975","05/31/1980",115600,"Standard Grant",3070603,"Direct For Mathematical & Physical Scien","name not available","11/20/1975","05/24/1978",7423661,"J.","Paterson","12/01/1975","Principal Investigator","University of Virginia Main Campus","CHARLOTTESVILLE",229044195,4349244270,"P.O. BOX 400195","United States","Virginia","VA","Division Of Materials Research",1763,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,1764,"LOW TEMPERATURE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3580",3580,"Study of Energy R&D in Japan","06/22/1974","09/30/1974",13000,"Interagency Agreement",1080100,"Office Of The Director","name not available","06/22/1974","06/22/1974",7423675,"Walter","Sadowski","06/22/1974","Principal Investigator","Department of Commerce","Arlington",22201,7035880851,"Ocean.US 2300 Clarendon Blvd.","United States","Virginia","VA","Office of Planning and Assessment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3581",3581,"Technical Aspects of Efficient Energy Utilization","06/15/1974","04/30/1975",0,"Standard Grant",1080100,"Office Of The Director","name not available","02/12/1975","02/12/1975",7423676,"Marc","Ross","06/15/1974","Principal Investigator","American Physical Society","College Park",207403841,3012093220,"One Physics Ellipse","United States","Maryland","MD","Office of Planning and Assessment",NA,NA,"Laurence","Ross","06/15/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3582",3582,"Excitation and Relaxation Studies of Molecular Lasers","02/15/1975","07/31/1977",128000,"Standard Grant",7050000,"Directorate For Engineering","name not available","02/15/1975","02/15/1975",7423677,"Thomas","De Temple","02/15/1975","Co-Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL","Div Of Engineering Education and Centers",1452,"POWER SYSTEMS","Paul","Coleman","02/15/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3583",3583,"Cytological Studies of Fertilization","03/01/1975","08/31/1977",39000,"Standard Grant",8090100,"Direct For Biological Sciences","name not available","02/10/1975","02/10/1975",7423681,"Frank","Longo","03/01/1975","Principal Investigator","The University of Tennessee, Memphis - The Health Science Center","MEMPHIS",381631201,9014485571,"62 S DUNLAP ST","United States","Tennessee","TN","Division Of Integrative Organismal Sys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3584",3584,"Properties and Characteristics of Shape Memory (Marmen) Materials","01/01/1975","07/31/1977",85300,"Continuing grant",3070004,"Direct For Mathematical & Physical Scien","name not available","12/13/1974","02/27/1976",7423684,"C. Marvin","Wayman","01/01/1975","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL","Division Of Materials Research",1771,"METAL & METALLIC NANOSTRUCTURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3585",3585,"Dihydropyridines: New Approaches to Their Preparation and Use As Synthetic Intermediates","09/01/1975","02/28/1979",60600,"Continuing grant",3090304,"Direct For Mathematical & Physical Scien","name not available","08/29/1975","07/21/1977",7423700,"Frank","Fowler","09/01/1975","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY","Division Of Chemistry",1934,"SYNTHETIC ORGANIC & NAT PRODUC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3586",3586,"CONTRACT FOR DATA PROCESSING SERVICES TO THE EDUCATION DIRECTORATE (C944)","06/28/1974","06/30/1975",0,"BOA/Task Order",NA,NA,"name not available","06/28/1974","06/28/1974",7423716,NA,NA,"06/28/1974","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE",NA,NA,NA,NA
"3587",3587,"Acquisition of a Computer-Controlled Automation For an Electron Microprobe Facility","05/15/1975","10/31/1976",40900,"Standard Grant",6030002,"Directorate For Geosciences","name not available","04/29/1975","04/29/1975",7423721,"Michael","Drake","05/15/1975","Principal Investigator","University of Arizona","Tucson",857194824,5206266000,"888 N Euclid Ave","United States","Arizona","AZ","Division Of Earth Sciences",1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3588",3588,"Prehistoric Habitat Reconstruction By Mammalian Microfaunal Analysis, Grasshopper Pueblo, Arizona","02/01/1975","09/30/1980",87300,"Standard Grant",4040400,"Direct For Social, Behav & Economic Scie","name not available","01/20/1975","10/04/1979",7423724,"J. Jefferson","Reid","02/01/1975","Principal Investigator","University of Arizona","Tucson",857194824,5206266000,"888 N Euclid Ave","United States","Arizona","AZ","Division Of Behavioral and Cognitive Sci",1310,"ANTHROPOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3589",3589,"Instrumentation For the 2.54-Meter Du Pont Telescope Part 1:A Coude Spectrograph","05/15/1975","10/31/1976",85000,"Continuing grant",3020500,"Direct For Mathematical & Physical Scien","name not available","06/06/1975","06/06/1975",7423725,"Arthur","Vaughan","05/15/1975","Principal Investigator","Carnegie Institution of Washington","WASHINGTON",200051910,2023876400,"1530 P ST NW","United States","District of Columbia","DC","Division Of Astronomical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3590",3590,"Collision Spectroscopy in Diatomic Systems","02/01/1975","12/31/1978",105700,"Continuing grant",6020201,"Directorate For Geosciences","name not available","01/16/1975","07/15/1977",7423738,"Roberta","Saxon","02/01/1975","Co-Principal Investigator","SRI International","Menlo Park",940253493,6508592651,"333 RAVENSWOOD AVE","United States","California","CA","Div Atmospheric & Geospace Sciences",NA,NA,"Felix","Smith","02/01/1975","Principal Investigator",NA,NA,"Ronald","Olson","02/01/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3591",3591,"Development of a Classification - Measurement Scheme For Particle Shape Assessment","04/15/1975","11/30/1976",23200,"Standard Grant",7020000,"Directorate For Engineering","name not available","04/01/1975","04/01/1975",7423746,"Arthur","Vetter","04/15/1975","Co-Principal Investigator","University of Iowa","IOWA CITY",522421320,3193352123,"2 GILMORE HALL","United States","Iowa","IA","Div Of Chem, Bioeng, Env, & Transp Sys",NA,NA,"John","Beddow","04/15/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3592",3592,"Estrogen Regulation of Messenger Rna Transcription and Translation","02/01/1975","07/31/1978",48800,"Standard Grant",8090300,"Direct For Biological Sciences","name not available","01/16/1975","08/11/1977",7423763,"Kenneth","Lanclos","02/01/1975","Principal Investigator","Medical College of Georgia","Augusta",309013157,4048280211,"1120 Fifteenth Street","United States","Georgia","GA","Division Of Integrative Organismal Sys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3593",3593,"Computer System Integrity Research Program","03/01/1975","03/31/1978",167000,"Standard Grant",5010008,"Direct For Computer & Info Scie & Enginr","name not available","02/03/1975","07/16/1980",7423774,"Norman","Nielsen","03/01/1975","Principal Investigator","SRI International","Menlo Park",940253493,6508592651,"333 RAVENSWOOD AVE","United States","California","CA","Division of Computing and Communication Foundations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3594",3594,"Theoretical Studies of Magnetohydrodynamic Flows","06/01/1975","01/31/1979",80400,"Standard Grant",7020000,"Directorate For Engineering","name not available","03/05/1975","08/18/1977",7423778,"John","Walker","06/01/1975","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL","Div Of Chem, Bioeng, Env, & Transp Sys",1407,"Combustion & Fire Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3595",3595,"Population Analysis, Dispersal and Speciation in Marine Interstitial Fauna","06/01/1975","05/30/1977",23500,"Standard Grant",6040301,"Directorate For Geosciences","name not available","05/13/1975","09/29/1976",7423781,"Wolfgang","Sterrer","06/01/1975","Co-Principal Investigator","University of North Carolina at Chapel Hill","CHAPEL HILL",275991350,9199663411,"104 AIRPORT DR STE 2200","United States","North Carolina","NC","Division Of Ocean Sciences",1650,"BIOLOGICAL OCEANOGRAPHY","Reinhard","Rieger","06/01/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3596",3596,"Molecular and Functional Architecture of Transport Membranes","06/15/1975","10/31/1977",60800,"Continuing grant",8070400,"Direct For Biological Sciences","name not available","06/11/1975","04/21/1976",7423790,"Charles","Philpott","06/15/1975","Principal Investigator","William Marsh Rice University","Houston",770051827,7133484820,"6100 MAIN ST","United States","Texas","TX","Div Of Molecular and Cellular Bioscience",1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3597",3597,"Geophysical Fluid Dynamics","01/01/1975","07/31/1978",144400,"Continuing grant",6040303,"Directorate For Geosciences","name not available","04/01/1976","03/08/1977",7423791,"John","Miles","01/01/1975","Principal Investigator","University of California-San Diego","La Jolla",920930621,8585344896,"Office of Contract & Grant Admin","United States","California","CA","Division Of Ocean Sciences",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,1611,"OCEAN PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3598",3598,"Coating Flows and Related Problems in Capillary Hydrodynamics","02/01/1975","04/30/1978",98300,"Continuing grant",7020000,"Directorate For Engineering","name not available","01/29/1975","10/17/1977",7423806,"L.","Scriven","02/01/1975","Principal Investigator","University of Minnesota-Twin Cities","Minneapolis",554552070,6126245599,"200 OAK ST SE","United States","Minnesota","MN","Div Of Chem, Bioeng, Env, & Transp Sys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3599",3599,"Large Scale Nonlinear Programming","04/01/1975","09/30/1978",180000,"Continuing grant",4040600,"Direct For Social, Behav & Economic Scie","name not available","03/20/1975","12/01/1977",7423808,"Hamilton","Emmons","04/01/1975","Principal Investigator","Case Western Reserve University","CLEVELAND",441064901,2163684510,"Nord Hall, Suite 615","United States","Ohio","OH","Division Of Behavioral and Cognitive Sci",NA,NA,"Allan","Waren","04/01/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3600",3600,"Properties and Function of Galactosyltransferase","10/01/1974","03/31/1978",97000,"Continuing grant",8070400,"Direct For Biological Sciences","name not available","08/28/1974","09/01/1977",7423809,"Kurt","Ebner","10/01/1974","Principal Investigator","University of Kansas Medical Center","Kansas City",661607702,9135885238,"MSN 1039, 3901 Rainbow Boulevard","United States","Kansas","KS","Div Of Molecular and Cellular Bioscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3601",3601,"The Surface Decomposition of Saturated Hydrocarbons","01/15/1975","06/30/1977",120900,"Standard Grant",3070007,"Direct For Mathematical & Physical Scien","name not available","01/16/1975","01/09/1976",7423811,"Gert","Ehrlich","01/15/1975","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL","Division Of Materials Research",1762,"SOLID STATE & MATERIALS CHEMIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3602",3602,"Kinetic Control of Marine Microbial Growth Rates With Particular Reference to Dissolved Organic Carbon","12/01/1974","12/31/1977",101000,"Continuing grant",6040301,"Directorate For Geosciences","name not available","11/26/1974","05/06/1977",7423814,"Don","Button","12/01/1974","Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK","Division Of Ocean Sciences",1650,"BIOLOGICAL OCEANOGRAPHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603",3603,"Spider Distributions Associated With Prey Density","04/01/1975","06/30/1980",93200,"Standard Grant",8010208,"Direct For Biological Sciences","name not available","03/11/1975","12/13/1979",7423817,"Susan","Riechert","04/01/1975","Principal Investigator","University of Tennessee Knoxville","KNOXVILLE",379960003,8659743466,"1 CIRCLE PARK","United States","Tennessee","TN","Division Of Environmental Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
