"","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.EmailAddress","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.EmailAddress.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.EmailAddress.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.EmailAddress.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramElement.Code.5","Award.ProgramElement.Text.5","Award.ProgramElement.Code.6","Award.ProgramElement.Text.6","Award.ProgramElement.Code.7","Award.ProgramElement.Text.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.8","Award.ProgramElement.Code.9","Award.ProgramElement.Text.9","Award.ProgramElement.Code.10","Award.ProgramElement.Text.10","Award.ProgramElement.Code.11","Award.ProgramElement.Text.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.12","Award.ProgramElement.Code.13","Award.ProgramElement.Text.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4"
"4404","Fluid Dynamics of Polymer and Protein Solutions","04/15/1976","03/31/1980","33446","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","04/09/1976","10/30/1978","7519550","Neil","Berman","04/15/1976","Principal Investigator","Arizona State University","TEMPE","852816011","4809655479","ORSPA","United States","Arizona","AZ",NA,NA,"n.berman@asu.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4405","Synthesis With Boron Substituted Carbanions","09/01/1975","02/28/1978","44500","Standard Grant","03090302","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","08/21/1975","08/21/1975","7519557","Donald","Matteson","09/01/1975","Principal Investigator","Washington State University","PULLMAN","991641060","5093359661","280 Lighty","United States","Washington","WA",NA,NA,"dmatteson@wsu.edu",NA,NA,"1932","SYNTHETIC INORGANIC & ORGANOME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4406","Photochemical, Redox, Magnetic & Kinetic Properties of Transition Metal Complexes With Sulfur Containing Ligands. Metal Complexes As Reagents in Organic Synthesis.","01/01/1976","07/31/1979","91500","Continuing grant","03090102","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","02/17/1976","02/01/1978","7519560","Louis","Pignolet","01/01/1976","Principal Investigator","University of Minnesota-Twin Cities","Minneapolis","554552070","6126245599","200 OAK ST SE","United States","Minnesota","MN",NA,NA,"pignolet@chem.umn.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4407","Minority Institutions Science Improvement: Individual Insti-Tutional Project","06/15/1975","05/31/1977","105000","Standard Grant","05090000","Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/19/1975","06/19/1975","7519563","Tae","Nam","06/15/1975","Principal Investigator","University of Arkansas at Pine Bluff","Pine Bluff","716012790","8705758751","1200 University Drive","United States","Arkansas","AR",NA,NA,NA,NA,NA,"7630","ETHNIC MIN.-COLLEGE PROJ.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4408","Workshop on Research Needs in Network Theory and Its Application to Electronic Circuits to Be Held in Irvine, California During September 1975","05/15/1975","10/31/1976","15000","Standard Grant","05040003","Direct For Computer & Info Scie & Enginr","Division of Microelectronic Information Processing Systems","name not available","06/21/1975","04/16/1976","7519564","James","Mulligan Jr","05/15/1975","Principal Investigator","University of California-Irvine","Irvine","926173213","9498247295","141 Innovation Drive, Ste 250","United States","California","CA",NA,NA,NA,NA,NA,"1453","COMMU SYSTEMS & SIGNAL PROCESS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4409","Ternary Compound Thin Film Solar Cells","09/01/1975","02/28/1979","114900","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","08/28/1975","05/14/1976","7519576","Lawrence","Kazmerski","09/01/1975","Principal Investigator","University of Maine","ORONO","044695717","2075811484","5717 Corbett Hall","United States","Maine","ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4410","Synthesis of Integral, Stochastic Fluid Logic Networks","05/01/1976","10/31/1977","18300","Standard Grant","01090000","Office Of The Director","Office Of Internatl Science &Engineering","name not available","05/24/1976","05/24/1976","7519582","Ernest","Fitch","05/01/1976","Principal Investigator","Oklahoma State University","Stillwater","740781011","4057449995","101 WHITEHURST HALL","United States","Oklahoma","OK",NA,NA,NA,NA,NA,"5917","ROMANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4411","Research in Magnetic and Superconducting Materials","10/01/1975","03/31/1980","22900","Contract","01090000","Office Of The Director","Office Of Internatl Science &Engineering","name not available","11/17/1975","09/25/1979","7519584","Yaacov","Shapira","10/01/1975","Co-Principal Investigator","Massachusetts Institute of Technology","Cambridge","021394301","6172531000","77 MASSACHUSETTS AVE","United States","Massachusetts","MA","Simon","Foner","ext. 5368, fax: 617-627-3744","10/01/1975","Principal Investigator","5913","BRAZIL",NA,NA,"foner@slipknot.mit.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4412","Doctoral Dissertation Research in Political Science","08/01/1975","01/31/1977","1800","Standard Grant","04040700","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","05/07/1975","05/07/1975","7519590","Herbert","Hirsch","08/01/1975","Principal Investigator","University of Texas at Austin","Austin","787121532","5124716424","101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4413","Econometric Studies of Industrial Research and TechnologicalChange","09/01/1975","12/31/1981","161026","Standard Grant","04040600","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","08/13/1975","01/10/1979","7519592","Edwin","Mansfield","09/01/1975","Principal Investigator","University of Pennsylvania","Philadelphia","191046205","2158987293","Research Services","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4414","Analysis of Cognitive Processes","09/15/1975","02/28/1977","92150","Standard Grant","05020200","Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","09/04/1975","09/04/1975","7519596","John","Renner","09/15/1975","Principal Investigator","University of Oklahoma Norman Campus","NORMAN","730199705","4053254757","201 Stephenson Parkway","United States","Oklahoma","OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4415","Development of Productivity Measurement Systems For State Government Social Services","10/01/1975","12/31/1978","419300","Standard Grant","07030000","Directorate For Engineering","Div Of Civil, Mechanical, & Manufact Inn","name not available","09/25/1975","04/20/1978","7519597","John","Cadoo","10/01/1975","Principal Investigator","Washington State Office of Governor","Olympia","98504","2067537882","417 Public Lands Building","United States","Washington","WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4416","Studies of a Salt Hydrate Heat Storage System","07/01/1975","08/31/1978","176000","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","07/23/1975","04/17/1978","7519601","John","Hallett","07/01/1975","Principal Investigator","Nevada System of Higher Education, Desert Research Institute","Reno","895121095","7756737444","2215 Raggio Parkway","United States","Nevada","NV",NA,NA,"hallett@dri.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4417","Transferring Environmental Technology to Local Governments: A Test of Cooperative Extension Service Capability","06/15/1975","10/31/1976","129000","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","06/16/1975","08/25/1976","7519607","Robert","Fite","06/15/1975","Principal Investigator","Oklahoma State University","Stillwater","740781011","4057449995","101 WHITEHURST HALL","United States","Oklahoma","OK",NA,NA,NA,NA,NA,"5760","EXPER R&D INCENTIVES PRGM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4418","An Interdisciplinary Study of Settlement, Technology, and Culture Change","01/01/1975","12/31/1978","101600","Continuing grant","04040400","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","10/29/1975","06/24/1977","7519611","Peter","Schmidt","01/01/1975","Principal Investigator","Brown University","Providence","029129002","4018632777","BOX 1929","United States","Rhode Island","RI",NA,NA,"schmidtp@ufl.edu",NA,NA,"1310","ANTHROPOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4419","Media Selection For Information User Training","12/15/1976","12/31/1976","40600","Standard Grant","05020000","Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","01/12/1976","09/28/1976","7519613","Arthur","Elias","12/15/1976","Principal Investigator","Biosciences Information Service","Philadelphia","19103",NA,NA,"United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4420","Dissertation Research: Periodic Flooding and Its Relation To the Ligneous Flora of Arkansas","08/01/1975","02/01/1977","900","Standard Grant","08010208","Direct For Biological Sciences","Division Of Environmental Biology","name not available","07/30/1975","07/30/1975","7519617","Edward","Dale","08/01/1975","Principal Investigator","University of Arkansas","FAYETTEVILLE","727011201","4795753845","210 Administration Building","United States","Arkansas","AR",NA,NA,NA,NA,NA,"1128","POP & COMMUNITY ECOL CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4421","Vascular Plants of the Intermountain West","10/01/1975","03/31/1978","65000","Standard Grant","08010207","Direct For Biological Sciences","Division Of Environmental Biology","name not available","10/17/1975","10/17/1975","7519618","Arthur","Cronquist","10/01/1975","Principal Investigator","New York Botanical Garden","Bronx","104585126","7188178840","2900 Southern Blvd","United States","New York","NY","Noel","Holmgren",NA,"10/01/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4422","Phylogenetic Significance of Flavanoid Chemistry and Metabolism in Hybrid Species of Phlox","09/01/1975","02/28/1978","43700","Standard Grant","08010207","Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/18/1975","08/18/1975","7519621","Morris","Levy","09/01/1975","Principal Investigator","Purdue University","West Lafayette","479072114","7654941055","Young Hall","United States","Indiana","IN",NA,NA,"levym@bilbo.bio.purdue.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4423","Role of Water Vapor in Atmospheric Energetics, Climate and Hydrology","10/15/1975","03/31/1978","200000","Standard Grant","06020106","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","10/29/1975","10/27/1976","7519625","Mao Fou","Wu","10/15/1975","Principal Investigator","Environmental Research & Tech","Concord","01742",NA,NA,"United States","Massachusetts","MA","Richard","Rosen","rdrosen@aer.com","10/15/1975","Co-Principal Investigator","1522","PHYSICAL METEOROLOGY","5740","CLIMATE & LARGE-SCALE DYNAMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4424","Spatial Analysis of Land Use","09/01/1975","02/28/1978","189850","Standard Grant","05090000","Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/19/1975","06/19/1975","7519626","John","Lounsbury","09/01/1975","Principal Investigator","Arizona State University","TEMPE","852816011","4809655479","ORSPA","United States","Arizona","AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4425","Climate, Long-Range Investigations, Mapping and Prediction (Climap): Global Paleo-Oceanographic Studies of Late Quaternary Ocean Circulation and Climate","08/01/1975","04/30/1978","1184100","Standard Grant","06040300","Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/27/1975","03/08/1977","7519627","John","Imbrie","08/01/1975","Principal Investigator","Columbia University Lamont Doherty Earth Observatory","Palisades","10964","9143592900","Rt 9W","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4426","Doctoral Dissertation Research in Biological Oceanography","01/01/1976","06/30/1978","7800","Standard Grant","06040301","Directorate For Geosciences","Division Of Ocean Sciences","name not available","12/24/1975","12/24/1975","7519633","Frank","Fisher","01/01/1976","Principal Investigator","William Marsh Rice University","Houston","770051827","7133484820","6100 MAIN ST","United States","Texas","TX",NA,NA,"fisher@rice.edu",NA,NA,"1650","BIOLOGICAL OCEANOGRAPHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4427","Chlorophyll and Chlorophyll Aggregates","03/01/1976","08/31/1978","40000","Standard Grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","02/17/1976","02/17/1976","7519638","Robert","Knox","03/01/1976","Principal Investigator","University of Rochester","Rochester","146270140","5852754031","518 HYLAN, RC BOX 270140","United States","New York","NY",NA,NA,"rsk@pas.rochester.edu",NA,NA,"1144","Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4428","Neural Mechanisms of Species-Typical Behavior","02/01/1976","07/31/1978","34600","Standard Grant","08030101","Direct For Biological Sciences","Division of Behavioral & Neural Sciences","name not available","01/05/1976","01/05/1976","7519641","Ronald","Matson","02/01/1976","Principal Investigator","University of Wisconsin-Madison","MADISON","537151218","6082623822","21 North Park Street","United States","Wisconsin","WI",NA,NA,"rmatson@kennesaw.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4429","Regulation of Photosynthetic Processes in Chlamydomonas","09/01/1975","02/28/1979","132100","Continuing grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","06/02/1975","08/10/1977","7519643","Robert","Togasaki","09/01/1975","Principal Investigator","Indiana University","Bloomington","474013654","8128550516","509 E 3RD ST","United States","Indiana","IN",NA,NA,NA,NA,NA,"1144","Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4430","Chemical Taxonomy in Algae","10/01/1975","03/31/1978","69200","Standard Grant","08010207","Direct For Biological Sciences","Division Of Environmental Biology","name not available","10/02/1975","10/02/1975","7519644","David","Chapman","10/01/1975","Principal Investigator","University of California-Los Angeles","LOS ANGELES","900951406","3107940102","10889 Wilshire Boulevard","United States","California","CA",NA,NA,"dchapman@descartes.ucsb.edu",NA,NA,"1127","EVOLUTIONARY PROCESSES CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4431","Heat Transfer Through Thermal Insulation","10/01/1975","03/31/1978","55900","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","09/25/1975","09/25/1975","7519649","Chang-Lin","Tien","10/01/1975","Principal Investigator","University of California-Berkeley","BERKELEY","947045940","5106428109","Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4432","Price and Output Behavior","10/15/1975","03/31/1977","18600","Standard Grant","04040600","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","10/14/1975","10/14/1975","7519653","Louis","Maccini","10/15/1975","Principal Investigator","Johns Hopkins University","Baltimore","212182608","4105168668","3400 N CHARLES ST","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4433","International Studies Learning Package Project","07/01/1975","01/31/1979","149625","Standard Grant","05090000","Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","name not available","06/30/1975","10/04/1976","7519654","Carl","Beck","07/01/1975","Principal Investigator","International Studies Association","Minneapolis","55404",NA,NA,"United States","Minnesota","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4434","Role of Law in Protection of Ideas","06/01/1976","02/28/1979","36000","Standard Grant","04040700","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","05/17/1976","02/02/1978","7519655","Lewis","Kurlantzick","06/01/1976","Principal Investigator","University of Connecticut Health Center","Farmington","060321956","8606793951","263 Farmington Ave.","United States","Connecticut","CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
