"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11"
"652",652,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",395436,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002665,".","None","11/26/1969","Principal Investigator","Princeton University","Princeton","085442020",6092583090,"Off. of Research & Proj. Admin.","United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653",653,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",278492,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002666,".","None","11/26/1969","Principal Investigator","Rutgers University New Brunswick","Piscataway","088543925",8489320150,"33 Knightsbridge Road","United States","New Jersey","NJ",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654",654,"1969 Institutional Grants For Science","11/26/1969","10/31/1971",31393,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/15/1972",7002670,"-.","None","11/26/1969","Principal Investigator","New Mexico Highlands University","Las Vegas","877019000",5054543571,"University Avenue","United States","New Mexico","NM",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655",655,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",308785,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002672,"-.","None","11/26/1969","Principal Investigator","New Mexico State University","Las Cruces","880038002",5756461590,"Corner of Espina St. & Stewart","United States","New Mexico","NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656",656,"1969 Institutional Grants For Science","11/26/1969","11/30/1971",12000,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","11/25/1970",7002673,"Jeremy","Taylor","11/26/1969","Principal Investigator","Saint John's College-Santa Fe","Santa Fe","875014599",5059823691,NA,"United States","New Mexico","NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657",657,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",39962,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002674,".","None","11/26/1969","Principal Investigator","University of Albuquerque (CLOSED)","Albuquerque","871023661",5058311111,"Saint Joseph Place N W","United States","New Mexico","NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658",658,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",249554,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002675,".","None","11/26/1969","Principal Investigator","University of New Mexico","Albuquerque","871310001",5052774186,"1700 Lomas Blvd. NE, Suite 2200","United States","New Mexico","NM",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659",659,"1969 Institutional Grants For Science","11/26/1969","11/30/1971",9000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/26/1969","11/26/1969",7002676,"Jeremy","Taylor","11/26/1969","Principal Investigator","Western New Mexico University","Silver City","880620680",5755386153,"PO Box 680","United States","New Mexico","NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660",660,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",53510,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002677,".","None","11/26/1969","Principal Investigator","Adelphi University","Garden City","115304299",5162948700,"South Avenue","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661",661,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",433339,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002682,".","None","11/26/1969","Principal Investigator","Columbia University","NEW YORK","100276902",2128546851,"2960 Broadway","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662",662,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",414467,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002684,".","None","11/26/1969","Principal Investigator","Cornell University","Ithaca","148502820",6072555014,"373 Pine Tree Road","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663",663,"1969 Institutional Grants For Science","11/26/1969","11/30/1970",12525,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/26/1969","11/26/1969",7002686,"Jeremy","Taylor","11/26/1969","Principal Investigator","CUNY Bronx Community College","Bronx","104532804",7182895183,"2155 University Ave.","United States","New York","NY",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664",664,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",50586,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002687,".","None","11/26/1969","Principal Investigator","CUNY Brooklyn College","Brooklyn","112102889",7189515622,"Office of Research & Sponsored P","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665",665,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",105209,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002688,".","None","11/26/1969","Principal Investigator","CUNY City College","New York","100319101",2126505418,"Convent Ave at 138th St","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666",666,"1969 Institutional Grants For Science","11/26/1969","11/30/1970",13325,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","11/26/1969",7002691,"-.","None","11/26/1969","Principal Investigator","CUNY Queens College","Flushing","113671575",7189975400,"65 30 Kissena Blvd","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667",667,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",46104,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002698,".","None","11/26/1969","Principal Investigator","Manhattan College","Bronx","104714004",7188627268,"4513 Manhattan College Parkway","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668",668,"1969 Institutional Grants For Science","11/26/1969","11/30/1970",2000,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/26/1969","11/26/1969",7002699,"Jeremy","Taylor","11/26/1969","Principal Investigator","Nazareth College of Rochester","Rochester","146183703",5853892419,"4245 East Avenue","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669",669,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",63380,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002700,".","None","11/26/1969","Principal Investigator","New York Medical College","Valhalla","105951524",9145942600,"40 Sunshine Cottage Road","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670",670,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",202655,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002702,".","None","11/26/1969","Principal Investigator","Polytechnic University of New York","Brooklyn","112013826",7182603360,"15 Metrotech Center","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671",671,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",250565,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002703,".","None","11/26/1969","Principal Investigator","Rensselaer Polytechnic Institute","Troy","121803522",5182766000,"110 8TH ST","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672",672,"1969 Institutional Grants For Science","11/26/1969","11/30/1971",11283,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/26/1969","11/26/1969",7002706,"Jeremy","Taylor","11/26/1969","Principal Investigator","Sarah Lawrence College","Bronxville","107085931",9143370700,"One Mead Way","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673",673,"1969 Institutional Grants For Science","11/26/1969","11/30/1971",10068,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","11/26/1969",7002707,".","None","11/26/1969","Principal Investigator","Skidmore College","Saratoga Springs","128661632",5185805177,"815 North Broadway","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674",674,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",35620,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002709,".","None","11/26/1969","Principal Investigator","Saint Lawrence University","Canton","136171423",3152295571,"23 Romoda Drive","United States","New York","NY",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675",675,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",59247,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002710,"-.","None","11/26/1969","Principal Investigator","SUNY State University of New York Central Administration","Albany","122460001",5184347111,"State University Plaza","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676",676,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",40446,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002712,"-.","None","11/26/1969","Principal Investigator","SUNY College at Brockport","Brockport","144202932",5853952444,"Research Foundation of SUNY","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677",677,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",39651,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002713,"-.","None","11/26/1969","Principal Investigator","SUNY College at Buffalo","Buffalo","142221004",7168783047,"1300 Elmwood Avenue","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678",678,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",22276,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002714,"Jeremy","Taylor","11/26/1969","Principal Investigator","SUNY College at Cortland","Cortland","130452000",6077532511,"Research Foundation for SUNY","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679",679,"1969 Institutional Grants For Science","11/26/1969","10/31/1971",16870,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002716,"-.","None","11/26/1969","Principal Investigator","SUNY College at New Paltz","New Paltz","125612443",8452573282,"Sponsored Programs, HAB 805","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680",680,"1969 Institutional Grants For Science","11/26/1969","11/30/1970",7022,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/03/1971",7002717,"-.","None","11/26/1969","Principal Investigator","SUNY College at Oneonta","Oneonta","138204015",6074362525,"Research Foundation of SUNY","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681",681,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",67255,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002719,"-.","None","11/26/1969","Principal Investigator","SUNY College of Environmental Science and Forestry","Albany","122010009",3154706606,"PO Box 9","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682",682,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",68346,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002721,"-.","None","11/26/1969","Principal Investigator","SUNY at Binghamton","BINGHAMTON","139026000",6077776136,"4400 VESTAL PKWY E","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683",683,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",203207,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002722,"-.","None","11/26/1969","Principal Investigator","SUNY at Buffalo","Amherst","142282567",7166452634,"520 Lee Entrance","United States","New York","NY",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684",684,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",240881,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002723,"-.","None","11/26/1969","Principal Investigator","SUNY at Stony Brook","Stony Brook","117940001",6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685",685,"1969 Institutional Grants For Science","11/26/1969","11/30/1970",13325,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/26/1969","11/26/1969",7002732,"Jeremy","Taylor","11/26/1969","Principal Investigator","Cape Fear Community College","Wilmington","284013910",9103627000,"411 North Front Street","United States","North Carolina","NC",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686",686,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",42089,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002734,".","None","11/26/1969","Principal Investigator","East Carolina University","Greenville","278584353",2523289540,"Office of Sponsored Programs","United States","North Carolina","NC",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687",687,"1969 Institutional Grants For Science","11/26/1969","11/30/1970",2000,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","11/26/1969",7002735,"Jeremy","Taylor","11/26/1969","Principal Investigator","Elon University","Elon","272449423",3362786603,"2610 Campus Box","United States","North Carolina","NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688",688,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",57573,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002736,"-.","None","11/26/1969","Principal Investigator","North Carolina Agricultural & Technical State University","Greensboro","274110001",3363347995,"1601 E. Market Street","United States","North Carolina","NC",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689",689,"1969 Institutional Grants For Science","11/26/1969","11/30/1971",10068,"Standard Grant",10030000,"Office of Budget, Finance, & Award Management","Division of Grants and Agreements","name not available","11/26/1969","11/26/1969",7002738,"Jeremy","Taylor","11/26/1969","Principal Investigator","Queens College","Charlotte","282740001",7043372274,"1900 Selwyn Avenue","United States","North Carolina","NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690",690,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",273416,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002741,"-.","None","11/26/1969","Principal Investigator","University of North Carolina at Chapel Hill","CHAPEL HILL","275991350",9199663411,"104 AIRPORT DR STE 2200","United States","North Carolina","NC",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691",691,"1969 Institutional Grants For Science","11/26/1969","09/30/1971",53805,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/26/1969","12/31/1973",7002742,"-.","None","11/26/1969","Principal Investigator","University of North Carolina Greensboro","GREENSBORO","274125013",3363345878,"1111 Spring Garden Street","United States","North Carolina","NC",NA,NA,NA,NA,2100,"INSTITUTIONAL GRANTS SCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
