"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.1","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.4","Award.ProgramElement.Code.13","Award.ProgramElement.Text.5","Award.ProgramElement.Code.14","Award.ProgramElement.Text.6","Award.ProgramElement.Code.15","Award.ProgramElement.Text.7","Award.ProgramElement.Code.16","Award.ProgramElement.Text.8","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"1231",1231,"Observation of Southern Hemisphere Radio Sources-Travel to Brazil","04/15/1973","04/30/1974",1600,"Interagency Agreement",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","05/07/1973","05/07/1973",7307468,"Jeremy","Taylor","04/15/1973","Principal Investigator","National Aeronautics and Space Administration","Washington",205460002,2023580472,"300 E St SW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1232",1232,"Study of the Electronic Properties of Metals","11/01/1972","11/30/1976",113500,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","10/20/1972","04/25/1975",7307485,"J.","Gavenda","11/01/1972","Principal Investigator","University of Texas at Austin","Austin",787121532,5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1233",1233,"Magnetic Resonance Studies of the Properties of Matter","02/01/1973","07/31/1977",156700,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","12/18/1972","02/02/1977",7307488,NA,"DATA NOT AVAILABLE","02/01/1973","Principal Investigator","Rutgers University New Brunswick","Piscataway",88543925,8489320150,"33 Knightsbridge Road","United States","New Jersey","NJ",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1234",1234,"The Relationship Between the Ultimate Mechanical Properties Of Polyamides and Their Solid State Molecular Organization","01/01/1973","06/30/1976",56000,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","12/07/1972","03/01/1976",7307491,"Yoram","Papir","01/01/1973","Principal Investigator","CUNY College of Staten Island","Staten Island",103146609,7189822254,"2800 Victory Boulevard","United States","New York","NY",1720,"SOLID-STATE CHEMSTRY & POLYMRS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1235",1235,"Magnetic and Thermal Properties of Condensed Matter at Low Temperatures","12/01/1972","11/30/1977",146200,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","12/04/1972","04/30/1976",7307493,"George","Seidel","12/01/1972","Principal Investigator","Brown University","Providence",29129002,4018632777,"BOX 1929","United States","Rhode Island","RI",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1236",1236,"Studies of Physical Properties of Narrow Super- Conducting Films and Arrays","12/15/1972","06/30/1977",132000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","12/29/1972","01/21/1975",7307494,"Yi-Han","Kao","12/15/1972","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",1710,"CONDENSED MATTER PHYSICS","James","Lukens","12/15/1972","Co-Principal Investigator",NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1237",1237,"Synthetic Polypeptides and Their Material Behavior","04/01/1973","12/31/1976",47600,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/23/1973","05/13/1975",7307495,"Garth","Wilkes","04/01/1973","Principal Investigator","Rider University","Lawrenceville",86480400,6098965000,"P O Box 6400","United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1238",1238,"Research Into Band Structure, Optical and Transport Properties of Metals, Alloys and Semiconductors","01/01/1973","06/30/1977",150000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/22/1973","01/31/1975",7307498,"John","Rayne","01/01/1973","Principal Investigator","Carnegie-Mellon University","PITTSBURGH",152133815,4122689527,"5000 Forbes Avenue","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1239",1239,"Metal-Insulator Interface Properties","02/01/1973","10/31/1977",130000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/12/1973","04/26/1976",7307501,"Hellmut","Juretschke","02/01/1973","Principal Investigator","Polytechnic University of New York","Brooklyn",112013826,7182603360,"15 Metrotech Center","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1240",1240,"Extension, Testing and Applications of the Theory of Nucleation at Grain Boundaries","02/01/1973","01/31/1977",184200,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/30/1973","03/20/1975",7307504,"Hubert","Aaronson","02/01/1973","Principal Investigator","Michigan Technological University","Houghton",499311295,9064871885,"1400 Townsend Drive","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1241",1241,"Solid State Electrochemistry","07/01/1973","03/31/1978",143500,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","01/30/1973","09/22/1975",7307507,"John","Kennedy","07/01/1973","Principal Investigator","University of California-Santa Barbara","Santa Barbara",931062050,8058934188,"Office of Research","United States","California","CA",1720,"SOLID-STATE CHEMSTRY & POLYMRS",NA,NA,NA,NA,NA,NA,NA,NA,1762,NA,"SOLID STATE & MATERIALS CHEMIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1242",1242,"Ions and Vortices in Superfluid Helium","03/01/1973","09/03/1977",83400,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","02/15/1973","03/03/1976",7307515,"William","Glaberson","03/01/1973","Principal Investigator","Rutgers University New Brunswick","Piscataway",88543925,8489320150,"33 Knightsbridge Road","United States","New Jersey","NJ",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1243",1243,"Organic Molecular Crystals and Interactions in Metals Through the Use of Superconductivity","03/01/1973","08/31/1977",91800,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","02/14/1973","02/11/1976",7307518,"Paul","Chaikin","03/01/1973","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,3107940102,"10889 Wilshire Boulevard","United States","California","CA",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1762,NA,"SOLID STATE & MATERIALS CHEMIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1244",1244,"Thermodynamic Properties of Molten Oxides and Silicates","02/01/1973","08/31/1977",164600,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","02/14/1973","02/26/1975",7307519,"Lawrence","Darken","02/01/1973","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,"Arnulf","Muan","02/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1245",1245,"Spin Resonance and the Study of Solids","03/01/1973","05/31/1978",130000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","02/15/1973","08/20/1975",7307521,"Robert","Cotts","03/01/1973","Principal Investigator","Cornell University","Ithaca",148502820,6072555014,"373 Pine Tree Road","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1246",1246,"Field Ion Microscopy Study of Metal-Metal Interactions at Interfaces","03/01/1973","08/31/1976",76100,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","02/14/1973","03/20/1975",7307523,"Osamu","Nishikawa","03/01/1973","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1247",1247,"Research Initiation-Sulfur Bearing Emissions From Blast Furnace Slags","04/01/1973","09/30/1974",17000,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/15/1973","03/15/1973",7307536,"Robert","Stoehr","04/01/1973","Principal Investigator","University of Pittsburgh","Pittsburgh",152132303,4126247400,"University Club","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1248",1248,"Cold-Forming of Polymers and Plastic Deformation Under High Pressure","03/01/1973","12/31/1978",145477,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/09/1973","07/10/1978",7307542,"Kook","Pae","03/01/1973","Principal Investigator","Rutgers University New Brunswick","Piscataway",88543925,8489320150,"33 Knightsbridge Road","United States","New Jersey","NJ",1730,"SPECIAL PROGRAMS IN MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,1773,NA,"POLYMERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1249",1249,"Influence of Ionizing Radiation Upon the Catalytic, Mechanical and Corrosive Properties of Metals","04/01/1973","02/28/1977",100000,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/02/1973","10/01/1975",7307543,"George","DATA NOT AVAILABLE","04/01/1973","Co-Principal Investigator","University of Notre Dame","NOTRE DAME",465565708,5746317432,"940 Grace Hall","United States","Indiana","IN",NA,NA,NA,"Kuczynski","04/01/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1250",1250,"Interfacial Mobilities","04/01/1973","12/31/1976",73100,"Continuing grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/02/1973","03/18/1975",7307544,"Charles","Bauer","04/01/1973","Principal Investigator","Carnegie-Mellon University","PITTSBURGH",152133815,4122689527,"5000 Forbes Avenue","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1251",1251,"Organometallic Polymers and Resins","05/14/1973","02/28/1978",126000,"Standard Grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/19/1973","08/22/1975",7307545,"Charles","Pittman","05/14/1973","Principal Investigator","University of Alabama Tuscaloosa","Tuscaloosa",354870005,2053485152,"801 University Blvd.","United States","Alabama","AL",1720,"SOLID-STATE CHEMSTRY & POLYMRS",NA,NA,NA,NA,NA,NA,NA,NA,1773,NA,"POLYMERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1252",1252,"Local Atomic Arrangements in Alloys and Intermetallics","03/01/1973","08/31/1977",78000,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/05/1973","03/05/1973",7307549,NA,"DATA NOT AVAILABLE","03/01/1973","Principal Investigator","Northwestern University","Evanston",602013149,8474913003,"1801 Maple Ave.","United States","Illinois","IL",1730,"SPECIAL PROGRAMS IN MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1253",1253,"Improved Spectroscopic Characterization of Polymer Systems","04/01/1973","09/30/1976",93700,"Continuing grant",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/26/1973","04/11/1975",7307551,"Jack","Koenig","04/01/1973","Principal Investigator","Case Western Reserve University","CLEVELAND",441064901,2163684510,"Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1254",1254,"Light Scattering Studies in Insulators, Semi-Conductors, AndGlasses","04/01/1973","09/30/1977",125000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/15/1973","03/31/1976",7307564,"Miles","Klein","04/01/1973","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1255",1255,"Statistical Mechanics of Model Systems","06/01/1973","11/30/1977",71800,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","05/08/1973","05/17/1976",7307565,"Barry","McCoy","06/01/1973","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",1275,"THEORET-ELEMENTARY PARTIC",NA,NA,NA,NA,NA,NA,NA,NA,1710,1761,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1256",1256,"Selected Studies of Electric, Magnetic, and Thermal Properties of Metallic Systems","07/01/1973","12/31/1976",125500,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/04/1973","05/23/1975",7307572,"Elmer","Anderson","07/01/1973","Co-Principal Investigator","Clarkson University","Potsdam",136761401,3152686475,"8 Clarkson Avenue","United States","New York","NY",NA,NA,"K.","Rao","07/01/1973","Co-Principal Investigator","Sigurds","Arajs","07/01/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1257",1257,"Fabrication Technology For a Practical High Temperature Superconductor","04/01/1973","09/30/1977",195000,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/06/1973","01/29/1975",7307576,"Robert","Rose","04/01/1973","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",1730,"SPECIAL PROGRAMS IN MATERIALS",NA,NA,NA,NA,NA,NA,NA,NA,1771,NA,"METAL & METALLIC NANOSTRUCTURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1258",1258,"Transition Temperatures and Lattice Properties of Superconductors","04/01/1973","09/30/1978",65400,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/29/1973","04/18/1975",7307578,"Philip","Allen","04/01/1973","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1259",1259,"Theory of Critical Properties and Phase Transitions","06/01/1973","08/31/1978",110000,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/11/1973","05/10/1978",7307580,"George","Stell","06/01/1973","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1761,NA,"SOLID STATE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1260",1260,"Properties of Superconductors","07/01/1973","06/30/1977",150000,"Standard Grant",3070603,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/05/1973","01/15/1975",7307581,"Donald","Ginsberg","07/01/1973","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1261",1261,"Interstitial Atom Ordering and Its Effects in Group Va Metals","04/01/1973","03/31/1976",36200,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/03/1973","08/21/1975",7307587,"Allen","Potter","04/01/1973","Principal Investigator","Union College","Schenectady",123083103,5183886101,"807 Union Street","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262",1262,"Theoretical Studies of Adsorption and Related Phenomena on Metal Surfaces","05/15/1973","10/31/1977",94800,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/12/1973","05/15/1976",7307589,"Morrel","DATA NOT AVAILABLE","05/15/1973","Principal Investigator","University of Chicago","Chicago",606375418,7737028669,"5801 South Ellis Avenue","United States","Illinois","IL",NA,NA,NA,"Cohen","05/15/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1263",1263,"Theoretical Study of Fundamental Processes and Interactions In Metals","06/01/1973","03/31/1978",98900,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","04/18/1973","09/24/1975",7307590,"James","Swihart","06/01/1973","Principal Investigator","Indiana University","Bloomington",474013654,8128550516,"509 E 3RD ST","United States","Indiana","IN",1710,"CONDENSED MATTER PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,1763,NA,"QUANTUM SOLIDS & LIQUIDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
